date,time,no2Value,longitude,latitude,regionName
03-08-2019,07:01:57,1.24E-04,77.125,28.775,North
04-08-2019,06:42:52,1.04E-04,77.125,28.775,North
04-08-2019,08:24:21,1.10E-04,77.125,28.775,North
05-08-2019,08:05:15,1.68E-04,77.125,28.775,North
06-08-2019,07:46:09,1.79E-04,77.125,28.775,North
07-08-2019,07:27:03,1.58E-04,77.125,28.775,North
08-08-2019,07:07:56,1.83E-04,77.125,28.775,North
09-08-2019,06:48:51,7.43E-05,77.125,28.775,North
10-08-2019,08:11:14,7.18E-05,77.125,28.775,North
11-08-2019,07:52:07,1.11E-04,77.125,28.775,North
12-08-2019,07:33:01,1.14E-04,77.125,28.775,North
13-08-2019,07:13:55,7.11E-05,77.125,28.775,North
14-08-2019,06:54:49,1.37E-04,77.125,28.775,North
15-08-2019,06:35:42,8.15E-05,77.125,28.775,North
15-08-2019,08:17:11,8.43E-05,77.125,28.775,North
16-08-2019,07:58:05,8.69E-05,77.125,28.775,North
17-08-2019,07:38:58,9.49E-05,77.125,28.775,North
18-08-2019,07:19:51,6.05E-05,77.125,28.775,North
19-08-2019,07:00:44,9.22E-05,77.125,28.775,North
20-08-2019,06:41:38,8.82E-05,77.125,28.775,North
20-08-2019,08:23:07,8.28E-05,77.125,28.775,North
21-08-2019,08:04:01,8.85E-05,77.125,28.775,North
22-08-2019,07:44:53,1.02E-04,77.125,28.775,North
23-08-2019,07:25:47,1.32E-04,77.125,28.775,North
24-08-2019,07:06:40,1.75E-04,77.125,28.775,North
25-08-2019,06:47:31,1.12E-04,77.125,28.775,North
26-08-2019,08:09:54,1.17E-04,77.125,28.775,North
27-08-2019,07:50:47,1.03E-04,77.125,28.775,North
28-08-2019,07:31:39,1.21E-04,77.125,28.775,North
29-08-2019,07:12:33,1.20E-04,77.125,28.775,North
30-08-2019,06:53:25,1.36E-04,77.125,28.775,North
31-08-2019,06:34:18,1.27E-04,77.125,28.775,North
01-09-2019,07:56:40,1.30E-04,77.125,28.775,North
02-09-2019,07:37:32,9.57E-05,77.125,28.775,North
03-09-2019,07:18:25,2.38E-04,77.125,28.775,North
04-09-2019,06:59:16,1.55E-04,77.125,28.775,North
05-09-2019,06:40:10,8.77E-05,77.125,28.775,North
05-09-2019,08:21:39,1.08E-04,77.125,28.775,North
06-09-2019,08:02:30,1.24E-04,77.125,28.775,North
07-09-2019,07:43:24,2.08E-04,77.125,28.775,North
08-09-2019,07:24:15,7.43E-05,77.125,28.775,North
09-09-2019,07:05:07,9.51E-05,77.125,28.775,North
10-09-2019,06:46:00,9.34E-05,77.125,28.775,North
11-09-2019,08:08:21,1.17E-04,77.125,28.775,North
12-09-2019,07:49:13,2.27E-04,77.125,28.775,North
13-09-2019,07:30:05,1.07E-04,77.125,28.775,North
14-09-2019,07:10:57,7.66E-05,77.125,28.775,North
15-09-2019,06:51:49,1.09E-04,77.125,28.775,North
16-09-2019,06:32:41,8.72E-05,77.125,28.775,North
16-09-2019,08:14:11,9.02E-05,77.125,28.775,North
17-09-2019,07:55:02,1.12E-04,77.125,28.775,North
18-09-2019,07:35:54,2.01E-04,77.125,28.775,North
19-09-2019,07:16:45,8.68E-05,77.125,28.775,North
20-09-2019,06:57:37,1.03E-04,77.125,28.775,North
21-09-2019,06:38:29,2.95E-04,77.125,28.775,North
21-09-2019,08:19:59,1.28E-04,77.125,28.775,North
22-09-2019,08:00:51,1.11E-04,77.125,28.775,North
23-09-2019,07:41:42,1.32E-04,77.125,28.775,North
